drink-B52轰炸机 | B52轰炸机 | ★★★
drink-Mojito莫吉托 | Mojito莫吉托 | ★★★
vegetable_dish-上汤娃娃菜 | 上汤娃娃菜 | ★★★
staple-中式馅饼 | 中式馅饼 | ★★★★
meat_dish-乡村啤酒鸭 | 乡村啤酒鸭 | ★★★★
meat_dish-农家一碗香 | 农家一碗香 | ★★★
drink-冬瓜茶 | 冬瓜茶 | ★★
meat_dish-冬瓜酿肉 | 冬瓜酿肉 | ★★★★
drink-冰粉 | 冰粉 | ★★
meat_dish-冷吃兔 | 冷吃兔 | ★★★★
vegetable_dish-凉拌木耳 | 凉拌木耳 | ★★
vegetable_dish-凉拌油麦菜 | 凉拌油麦菜 | ★
vegetable_dish-凉拌莴笋 | 凉拌莴笋 | ★★
vegetable_dish-凉拌豆腐 | 凉拌豆腐 | ★★
vegetable_dish-凉拌金针菇 | 凉拌金针菇 | ★★
meat_dish-凉拌鸡丝 | 凉拌鸡丝 | ★★★
vegetable_dish-凉拌黄瓜 | 凉拌黄瓜 | ★
semi-finished-凉皮 | 凉皮 | ★★★
staple-凉粉 | 凉粉 | ★★★
staple-利提巧卡 | 利提巧卡 | ★★★★★
soup-勾芡香菇汤 | 勾芡香菇汤 | ★★★
vegetable_dish-包菜炒鸡蛋粉丝 | 包菜炒鸡蛋粉丝 | ★★★
semi-finished-半成品意面 | 半成品意面 | ★
meat_dish-南派红烧肉 | 南派红烧肉 | ★★★★
meat_dish-卤菜 | 卤菜 | ★★★
vegetable_dish-印度土豆花菜 | 印度土豆花菜 | ★★★
drink-印度奶茶 | 印度奶茶 | ★★
staple-印度烤饼 | 印度烤饼 | ★★★
staple-印度焖饭 | 印度焖饭 | ★★★★★
vegetable_dish-印度葫芦丸子 | 印度葫芦丸子 | ★★★★
dessert-反沙芋头 | 反沙芋头 | ★★★
meat_dish-口水鸡 | 口水鸡 | ★★★
drink-可乐桶 | 可乐桶 | ★★
staple-可乐炒饭 | 可乐炒饭 | ★★★
meat_dish-可乐鸡翅 | 可乐鸡翅 | ★★★
meat_dish-台式卤肉饭 | 台式卤肉饭 | ★★★★★
breakfast-吐司果酱 | 吐司果酱 | ★
meat_dish-咕噜肉 | 咕噜肉 | ★★★★
dessert-咖啡椰奶冻 | 咖啡椰奶冻 | ★★★★
aquatic-咖喱炒蟹 | 咖喱炒蟹 | ★★★★
meat_dish-咖喱肥牛 | 咖喱肥牛 | ★★★★
staple-咸肉菜饭 | 咸肉菜饭 | ★★★★
aquatic-响油鳝丝 | 响油鳝丝 | ★★★
meat_dish-商芝肉 | 商芝肉 | ★★★★★
meat_dish-啤酒鸭 | 啤酒鸭 | ★★★★
meat_dish-回锅肉 | 回锅肉 | ★★★★
meat_dish-土豆炖排骨 | 土豆炖排骨 | ★★★
vegetable_dish-地三鲜 | 地三鲜 | ★★★
staple-基础牛奶面包 | 基础牛奶面包 | ★★★★★
breakfast-太阳蛋 | 太阳蛋 | ★★
drink-奇异果菠菜特调 | 奇异果菠菜特调 | ★
dessert-奥利奥冰淇淋 | 奥利奥冰淇淋 | ★★★
soup-奶油蘑菇汤 | 奶油蘑菇汤 | ★
drink-奶茶 | 奶茶 | ★★
meat_dish-奶酪培根通心粉 | 奶酪培根通心粉 | ★★★
meat_dish-姜炒鸡 | 姜炒鸡 | ★★★
meat_dish-姜葱捞鸡 | 姜葱捞鸡 | ★★★
meat_dish-孜然牛肉 | 孜然牛肉 | ★★★
breakfast-完美水煮蛋 | 完美水煮蛋 | ★★★★★
meat_dish-宫保鸡丁 | 宫保鸡丁 | ★★★★
vegetable_dish-家常日本豆腐 | 家常日本豆腐 | ★★★
meat_dish-小炒肉 | 小炒肉 | ★★★
vegetable_dish-小炒藕丁 | 小炒藕丁 | ★★★
meat_dish-小炒鸡肝 | 小炒鸡肝 | ★★★
meat_dish-小炒黄牛肉 | 小炒黄牛肉 | ★★★★
soup-小米粥 | 小米粥 | ★★
meat_dish-小米辣炒肉 | 小米辣炒肉 | ★★★
meat_dish-小酥肉 | 小酥肉 | ★★★
aquatic-小龙虾 | 小龙虾 | ★★★★
meat_dish-尖叫牛蛙 | 尖叫牛蛙 | ★★★★
meat_dish-尖椒炒牛肉 | 尖椒炒牛肉 | ★★★
meat_dish-山西过油肉 | 山西过油肉 | ★★★★
meat_dish-巴基斯坦牛肉咖喱 | 巴基斯坦牛肉咖喱 | ★★★★★
meat_dish-带把肘子 | 带把肘子 | ★★★★★
aquatic-干煎阿根廷红虾 | 干煎阿根廷红虾 | ★★★
meat_dish-干煸仔鸡 | 干煸仔鸡 | ★★★★
vegetable_dish-干锅花菜 | 干锅花菜 | ★★★
meat_dish-广式萝卜牛腩 | 广式萝卜牛腩 | ★★★★
staple-微波炉腊肠煲仔饭 | 微波炉腊肠煲仔饭 | ★★
breakfast-微波炉荷包蛋 | 微波炉荷包蛋 | ★
breakfast-微波炉蒸蛋 | 微波炉蒸蛋 | ★
breakfast-微波炉蛋糕 | 微波炉蛋糕 | ★
vegetable_dish-微波炉鸡蛋羹 | 微波炉鸡蛋羹 | ★★
aquatic-微波葱姜黑鳕鱼 | 微波葱姜黑鳕鱼 | ★★★
meat_dish-徽派红烧肉 | 徽派红烧肉 | ★★★★
meat_dish-意式烤鸡 | 意式烤鸡 | ★★★
staple-意式肉酱面 | 意式肉酱面 | ★
breakfast-意式香肠北非蛋 | 意式香肠北非蛋 | ★★★
semi-finished-懒人蛋挞 | 懒人蛋挞 | ★★★
dessert-戚风蛋糕 | 戚风蛋糕 | ★★★★★
staple-手工水饺 | 手工水饺 | ★★★★★
breakfast-手抓饼 | 手抓饼 | ★★
vegetable_dish-手撕包菜 | 手撕包菜 | ★★★
staple-扬州炒饭 | 扬州炒饭 | ★★★★
staple-披萨饼皮 | 披萨饼皮 | ★★★★
vegetable_dish-拔丝土豆 | 拔丝土豆 | ★★★
soup-排骨苦瓜汤 | 排骨苦瓜汤 | ★★★★
dessert-提拉米苏 | 提拉米苏 | ★★★★
meat_dish-新疆大盘鸡 | 新疆大盘鸡 | ★★★★
dessert-无厨师机蜂蜜面包 | 无厨师机蜂蜜面包 | ★★★★★
meat_dish-无骨鸡爪 | 无骨鸡爪 | ★★★★★
staple-日式咖喱饭 | 日式咖喱饭 | ★★★★
staple-日式肥牛丼饭 | 日式肥牛丼饭 | ★★★★
soup-昂刺鱼豆腐汤 | 昂刺鱼豆腐汤 | ★★★
soup-朱雀汤 | 朱雀汤 | ★
meat_dish-杀猪菜 | 杀猪菜 | ★★★★
drink-杨枝甘露 | 杨枝甘露 | ★★
vegetable_dish-松仁玉米 | 松仁玉米 | ★★
meat_dish-枝竹羊腩煲 | 枝竹羊腩煲 | ★★★★★
drink-柠檬水 | 柠檬水 | ★
meat_dish-柱候牛腩 | 柱候牛腩 | ★★★★
breakfast-桂圆红枣粥 | 桂圆红枣粥 | ★★
meat_dish-梅菜扣肉 | 梅菜扣肉 | ★★★★
meat_dish-椒盐排条 | 椒盐排条 | ★★★★
vegetable_dish-椒盐玉米 | 椒盐玉米 | ★★★
vegetable_dish-榄菜肉末四季豆 | 榄菜肉末四季豆 | ★★★
vegetable_dish-水油焖蔬菜 | 水油焖蔬菜 | ★★
meat_dish-水煮牛肉 | 水煮牛肉 | ★★★
breakfast-水煮玉米 | 水煮玉米 | ★★
meat_dish-水煮肉片 | 水煮肉片 | ★★★★★
aquatic-水煮鱼 | 水煮鱼 | ★★★★
staple-汤面 | 汤面 | ★★
staple-河南蒸面条 | 河南蒸面条 | ★★★★
condiment-油泼辣子 | 油泼辣子 | ★★★
aquatic-油焖大虾 | 油焖大虾 | ★★★★
condiment-油酥 | 油酥 | ★★
vegetable_dish-油醋爆蛋 | 油醋爆蛋 | ★★
drink-泰国手标红茶 | 泰国手标红茶 | ★★★
meat_dish-洋葱炒猪肉 | 洋葱炒猪肉 | ★★★
vegetable_dish-洋葱炒鸡蛋 | 洋葱炒鸡蛋 | ★★
drink-海边落日 | 海边落日 | ★★★
vegetable_dish-清炒花菜 | 清炒花菜 | ★★
vegetable_dish-清蒸南瓜 | 清蒸南瓜 | ★
aquatic-清蒸生蚝 | 清蒸生蚝 | ★★★
aquatic-清蒸鲈鱼 | 清蒸鲈鱼 | ★★★
meat_dish-清蒸鳜鱼 | 清蒸鳜鱼 | ★★★
breakfast-温泉蛋 | 温泉蛋 | ★★★
meat_dish-湖南家常红烧肉 | 湖南家常红烧肉 | ★★★
meat_dish-湘祁米夫鸭 | 湘祁米夫鸭 | ★★★★
breakfast-溏心蛋 | 溏心蛋 | ★★★
meat_dish-澳门湿版免治牛肉饭 | 澳门湿版免治牛肉饭 | ★★
staple-火腿饭团 | 火腿饭团 | ★★★★
staple-炒凉粉 | 炒凉粉 | ★★★
staple-炒年糕 | 炒年糕 | ★★★
staple-炒意大利面 | 炒意大利面 | ★★★
staple-炒方便面 | 炒方便面 | ★★
staple-炒河粉 | 炒河粉 | ★★★★
vegetable_dish-炒滑蛋 | 炒滑蛋 | ★
vegetable_dish-炒茄子 | 炒茄子 | ★★★
vegetable_dish-炒青菜 | 炒青菜 | ★★
staple-炒馍 | 炒馍 | ★★★
condiment-炸串酱料 | 炸串酱料 | ★★
semi-finished-炸薯条 | 炸薯条 | ★★
staple-炸酱面 | 炸酱面 | ★★★
dessert-炸鲜奶 | 炸鲜奶 | ★★★
staple-烙饼 | 烙饼 | ★★★★
dessert-烤箱版巴斯克芝士蛋糕 | 烤箱版巴斯克芝士蛋糕 | ★★
vegetable_dish-烤茄子 | 烤茄子 | ★★★
dessert-烤蛋挞 | 烤蛋挞 | ★★★★
aquatic-烤鱼 | 烤鱼 | ★★★★
meat_dish-烤鸡翅 | 烤鸡翅 | ★★★
staple-热干面 | 热干面 | ★★★
meat_dish-煎烤羊排 | 煎烤羊排 | ★★★★
breakfast-煎饺 | 煎饺 | ★★
staple-照烧鸡腿饭 | 照烧鸡腿饭 | ★★★★
staple-煮泡面加蛋 | 煮泡面加蛋 | ★
staple-煮锅蒸米饭 | 煮锅蒸米饭 | ★★
breakfast-燕麦鸡蛋饼 | 燕麦鸡蛋饼 | ★★
breakfast-牛奶燕麦 | 牛奶燕麦 | ★
meat_dish-牛排 | 牛排 | ★★★★
drink-牛油果拉西 | 牛油果拉西 | ★
semi-finished-牛油火锅底料 | 牛油火锅底料 | ★★★★★
staple-猪油拌饭 | 猪油拌饭 | ★
meat_dish-猪皮冻 | 猪皮冻 | ★★★★★
meat_dish-猪肉烩酸菜 | 猪肉烩酸菜 | ★★★★★
soup-玉米排骨汤 | 玉米排骨汤 | ★★★
dessert-玛格丽特饼干 | 玛格丽特饼干 | ★★★
meat_dish-甜辣烤全翅 | 甜辣烤全翅 | ★★★
soup-生汆丸子汤 | 生汆丸子汤 | ★★★★
staple-电饭煲三文鱼炊饭 | 电饭煲三文鱼炊饭 | ★★
staple-电饭煲蒸米饭 | 电饭煲蒸米饭 | ★
soup-番茄牛肉蛋花汤 | 番茄牛肉蛋花汤 | ★★★
meat_dish-番茄红酱 | 番茄红酱 | ★★★★
meat_dish-瘦肉土豆片 | 瘦肉土豆片 | ★★★
vegetable_dish-白灼菜心 | 白灼菜心 | ★★
aquatic-白灼虾 | 白灼虾 | ★★
meat_dish-白菜猪肉炖粉条 | 白菜猪肉炖粉条 | ★★★
drink-百香果橙子特调 | 百香果橙子特调 | ★★★
soup-皮蛋瘦肉粥 | 皮蛋瘦肉粥 | ★★★
vegetable_dish-皮蛋豆腐 | 皮蛋豆腐 | ★
drink-砂糖椰子冰沙 | 砂糖椰子冰沙 | ★
staple-空气炸锅照烧鸡饭 | 空气炸锅照烧鸡饭 | ★★★★
semi-finished-空气炸锅羊排 | 空气炸锅羊排 | ★★★
breakfast-空气炸锅面包片 | 空气炸锅面包片 | ★
semi-finished-空气炸锅鸡翅中 | 空气炸锅鸡翅中 | ★★
condiment-简易版炒糖色 | 简易版炒糖色 | ★★★★
meat_dish-简易红烧肉 | 简易红烧肉 | ★★★
soup-米粥 | 米粥 | ★★
meat_dish-粉蒸肉 | 粉蒸肉 | ★★★★
vegetable_dish-糖拌西红柿 | 糖拌西红柿 | ★★
meat_dish-糖醋排骨 | 糖醋排骨 | ★★★★
condiment-糖醋汁 | 糖醋汁 | ★★
meat_dish-糖醋里脊 | 糖醋里脊 | ★★★★
aquatic-糖醋鲤鱼 | 糖醋鲤鱼 | ★★★★
vegetable_dish-素炒豆角 | 素炒豆角 | ★★
soup-紫菜蛋花汤 | 紫菜蛋花汤 | ★★
dessert-红柚蛋糕 | 红柚蛋糕 | ★★★
vegetable_dish-红烧冬瓜 | 红烧冬瓜 | ★★★
meat_dish-红烧猪蹄 | 红烧猪蹄 | ★★★★
vegetable_dish-红烧茄子 | 红烧茄子 | ★★★★
aquatic-红烧鱼 | 红烧鱼 | ★★★★
aquatic-红烧鱼头 | 红烧鱼头 | ★★★★
aquatic-红烧鲤鱼 | 红烧鲤鱼 | ★★★★
meat_dish-红烧鸡翅 | 红烧鸡翅 | ★★★
staple-红芸豆拌饭 | 红芸豆拌饭 | ★★★
soup-罗宋汤 | 罗宋汤 | ★★★★
meat_dish-羊排焖面 | 羊排焖面 | ★★★★
