
=== meat_dish (103) ===
  meat_dish-乡村啤酒鸭 | 乡村啤酒鸭 | ★★★★ | 鸭肉,大葱,生姜,花椒,香料,大蒜,小米辣,啤酒,青椒,红椒,蒜苗
  meat_dish-农家一碗香 | 农家一碗香 | ★★★ | 猪肉,青椒,小米辣,蒜,姜,鸡蛋,豆瓣酱
  meat_dish-冬瓜酿肉 | 冬瓜酿肉 | ★★★★ | 冬瓜,肉末,葱,姜,淀粉,鸡蛋,水淀粉
  meat_dish-冷吃兔 | 冷吃兔 | ★★★★ | 兔肉,干辣椒,青花椒,八角,桂皮,香叶,山奈,白蔻,小茴香,蒜,姜,小葱,大葱,洋葱,白芝麻
  meat_dish-凉拌鸡丝 | 凉拌鸡丝 | ★★★ | 鸡胸肉,姜,料酒,麻油,生抽,香醋
  meat_dish-南派红烧肉 | 南派红烧肉 | ★★★★ | 猪五花肉,生姜,小葱,蒜,花椒,八角,香叶
  meat_dish-卤菜 | 卤菜 | ★★★ | 牛腱子,洋葱,生姜,大蒜,干辣椒,黄豆酱,豆瓣酱,蚝油,南腐乳,生抽,老抽,啤酒
  meat_dish-口水鸡 | 口水鸡 | ★★★ | 鸡肉,姜,小葱,花椒,花生,葱,蒜,辣椒粉,生抽,醋,味精,香油,香菜
  meat_dish-可乐鸡翅 | 可乐鸡翅 | ★★★ | 鸡翅,生姜,料酒,生抽,可乐,葱
  meat_dish-台式卤肉饭 | 台式卤肉饭 | ★★★★★ | 五花肉,红葱头,大蒜,鸡蛋,冰糖,米酒,生抽,五香粉,八角,香叶
  meat_dish-咕噜肉 | 咕噜肉 | ★★★★ | 梅头猪肉,青椒,菠萝,茄汁,白醋,蒜蓉,生抽,生粉,白砂糖
  meat_dish-咖喱肥牛 | 咖喱肥牛 | ★★★★ | 洋葱,胡萝卜,土豆,肥牛卷,香叶,咖喱块,牛奶
  meat_dish-商芝肉 | 商芝肉 | ★★★★★ | 肉,蜂蜜,醋,猪油,大葱,姜,鸡蛋皮,商芝,鸡汤,酱油,料酒,八角,味精,芝麻油
  meat_dish-啤酒鸭 | 啤酒鸭 | ★★★★ | 鸭子,姜,料酒,食用油,豆瓣酱,丁香,八角,香叶,干辣椒,生抽,老抽,蒜,啤酒,鸡精
  meat_dish-回锅肉 | 回锅肉 | ★★★★ | 五花肉,青红椒,蒜苗,生姜,豆瓣酱
  meat_dish-土豆炖排骨 | 土豆炖排骨 | ★★★ | 排骨,土豆,葱,姜,生抽,老抽,蚝油,黄豆酱,干辣椒,八角,花椒,桂皮,料酒
  meat_dish-奶酪培根通心粉 | 奶酪培根通心粉 | ★★★ | 奶酪,洋葱,通心粉,黄油,大蒜,肉类,牛奶,面粉
  meat_dish-姜炒鸡 | 姜炒鸡 | ★★★ | 鸡,姜,辣椒,大蒜,啤酒
  meat_dish-姜葱捞鸡 | 姜葱捞鸡 | ★★★ | 鸡腿,姜,葱
  meat_dish-孜然牛肉 | 孜然牛肉 | ★★★ | 小米椒,孜然粒,青椒,葱,牛肉,生抽,淀粉
  meat_dish-宫保鸡丁 | 宫保鸡丁 | ★★★★ | 手枪腿或鸡胸脯肉,大葱,姜,花生,干辣椒,花椒,莴笋,二荆条,豆瓣酱
  meat_dish-小炒肉 | 小炒肉 | ★★★ | 五花肉,淀粉,老抽,葱,小米椒,朝天椒,蒜,豆豉,豆瓣酱
  meat_dish-小炒鸡肝 | 小炒鸡肝 | ★★★ | 鸡肝,蒜苗,大葱,姜
  meat_dish-小炒黄牛肉 | 小炒黄牛肉 | ★★★★ | 牛里脊,芹菜,小米椒,野山椒,香菜
  meat_dish-小米辣炒肉 | 小米辣炒肉 | ★★★ | 小米辣,肉,姜,蒜,豆瓣酱
  meat_dish-小酥肉 | 小酥肉 | ★★★ | 猪肉,面粉,红薯粉,鸡蛋清
  meat_dish-尖叫牛蛙 | 尖叫牛蛙 | ★★★★ | 牛蛙肉,啤酒,生粉,料酒,泡姜,泡椒,野山椒,青红辣椒,大蒜,食用油,猪油,豆瓣酱,藤椒油,葱花
  meat_dish-尖椒炒牛肉 | 尖椒炒牛肉 | ★★★ | 牛肉,蒜,葱,姜,尖椒,酱油
  meat_dish-山西过油肉 | 山西过油肉 | ★★★★ | 木耳,猪里脊,鸡蛋,淀粉,蒜苔,葱头,葱,姜,蒜
  meat_dish-巴基斯坦牛肉咖喱 | 巴基斯坦牛肉咖喱 | ★★★★★ | 螺丝椒,番茄,牛肉,酸奶
  meat_dish-带把肘子 | 带把肘子 | ★★★★★ | 肘子,八角,桂皮,甜面酱,葱,红豆腐乳,红酱油,白酱油,姜,蒜
  meat_dish-干煸仔鸡 | 干煸仔鸡 | ★★★★ | 鸡腿肉,土豆,青椒,蒜瓣,红油豆瓣酱,花椒碎
  meat_dish-广式萝卜牛腩 | 广式萝卜牛腩 | ★★★★ | 牛腩,白萝卜,姜,葱,南乳,柱侯酱,酱油,蚝油,桂皮,八角,香叶,干辣椒
  meat_dish-徽派红烧肉 | 徽派红烧肉 | ★★★★ | 五花肉,白砂糖,姜,蒜,料酒,五香粉,葱,生抽,老抽,蚝油
  meat_dish-意式烤鸡 | 意式烤鸡 | ★★★ | 鸡腿肉,蒜,欧芹,柠檬
  meat_dish-新疆大盘鸡 | 新疆大盘鸡 | ★★★★ | 鸡肉,土豆,葱,蒜,辣椒,菜椒,线椒,甜椒,花椒,香叶,香果,干线椒,生抽,蚝油,料酒
  meat_dish-无骨鸡爪 | 无骨鸡爪 | ★★★★★ | 鸡爪,大葱,料酒,姜,小米辣,大蒜,洋葱,香菜,柠檬
  meat_dish-杀猪菜 | 杀猪菜 | ★★★★ | 血肠,排骨,酸菜,蒜瓣,干辣椒,姜粉,香油,香叶,八角,葱结,枸杞
  meat_dish-枝竹羊腩煲 | 枝竹羊腩煲 | ★★★★★ | 香菇,腐竹,南乳,柱侯酱,腐乳,洋葱,小葱,羊腩,姜,蒜,冰糖,香叶,八角,桂皮
  meat_dish-柱候牛腩 | 柱候牛腩 | ★★★★ | 姜,蒜,小米辣,香叶,花椒,八角,干辣椒,丁香,甘草,南乳,豆瓣酱,冰糖,花雕酒,白酒,柱候酱,蚝油,叉烧酱,老抽,生抽,牛肉,牛腩,萝卜,土豆
  meat_dish-梅菜扣肉 | 梅菜扣肉 | ★★★★ | 梅菜,五花肉,老抽,五香粉,小米椒,蒜蓉
  meat_dish-椒盐排条 | 椒盐排条 | ★★★★ | 大排,葱姜水,面粉,淀粉,吉士粉,鸡蛋
  meat_dish-水煮牛肉 | 水煮牛肉 | ★★★ | 牛肉,姜,鸡蛋,淀粉,蚝油,料酒,香菜,豆瓣酱,蒜,豆芽,辣椒粉,辣椒圈
  meat_dish-水煮肉片 | 水煮肉片 | ★★★★★ | 里脊肉,绿豆芽,凤尾,芹菜,蒜苗,大蒜,生姜,红泡椒,小米辣干辣椒,青花椒,豆瓣,鸡蛋清,土豆淀粉,植物油,菜籽油
  meat_dish-洋葱炒猪肉 | 洋葱炒猪肉 | ★★★ | 洋葱,猪肉,蒜头
  meat_dish-清蒸鳜鱼 | 清蒸鳜鱼 | ★★★ | 鳜鱼,姜,猪油,大葱,小葱,红椒,生抽,蒸鱼豉油
  meat_dish-湖南家常红烧肉 | 湖南家常红烧肉 | ★★★ | 五花肉,姜,八角,桂皮,生抽,老抽,料酒,干小米椒,冰糖
  meat_dish-湘祁米夫鸭 | 湘祁米夫鸭 | ★★★★ | 糯米粉,粘米粉,蒸肉粉,细辣椒粉,鸭子,姜,蒜子,五花肉,葱花
  meat_dish-澳门湿版免治牛肉饭 | 澳门湿版免治牛肉饭 | ★★ | 牛肉末,洋葱,米饭,鸡蛋
  meat_dish-烤鸡翅 | 烤鸡翅 | ★★★ | 鸡翅
  meat_dish-煎烤羊排 | 煎烤羊排 | ★★★★ | 羊排,桂皮,花椒,八角,白芷,香叶,料酒,辣椒粉,孜然粒,烧烤撒料,孜然粉,白芝麻
  meat_dish-牛排 | 牛排 | ★★★★ | 牛排,小番茄,小土豆,口蘑,大蒜,黄油,百里香
  meat_dish-猪皮冻 | 猪皮冻 | ★★★★★ | 猪皮,姜,料酒,白醋,葱,八角,花椒,味精,鸡精,生抽,老抽
  meat_dish-猪肉烩酸菜 | 猪肉烩酸菜 | ★★★★★ | 大葱,生姜,大蒜,酸菜,排骨,五花肉,五香粉,生抽酱油,大料
  meat_dish-甜辣烤全翅 | 甜辣烤全翅 | ★★★ | 鸡全翅
  meat_dish-番茄红酱 | 番茄红酱 | ★★★★ | 胡萝卜,芹菜,洋葱,蒜,橄榄油,牛肉,番茄酱,牛奶
  meat_dish-瘦肉土豆片 | 瘦肉土豆片 | ★★★ | 土豆,蒜苗,瘦肉
  meat_dish-白菜猪肉炖粉条 | 白菜猪肉炖粉条 | ★★★ | 五花肉,大白菜,粉条
  meat_dish-简易红烧肉 | 简易红烧肉 | ★★★ | 猪五花肉,豆皮,生姜,鹌鹑蛋,大葱,冰糖,生抽,老抽,料酒,香叶,八角
  meat_dish-粉蒸肉 | 粉蒸肉 | ★★★★ | 五花肉,姜,蒜,生抽,老抽,料酒,郫县豆瓣酱,白砂糖,蒸肉米粉,土豆
  meat_dish-糖醋排骨 | 糖醋排骨 | ★★★★ | 排骨,姜片,食用油,白砂糖,香醋,生抽,蚝油,鸡精,番茄酱,五香粉,老抽,芝麻
  meat_dish-糖醋里脊 | 糖醋里脊 | ★★★★ | 猪里脊肉,料酒,生抽,蚝油,鸡蛋,淀粉,番茄酱,醋
  meat_dish-红烧猪蹄 | 红烧猪蹄 | ★★★★ | 猪蹄,冰糖,香叶,桂皮,八角,生抽,老抽,料酒,姜
  meat_dish-红烧鸡翅 | 红烧鸡翅 | ★★★ | 鸡翅,姜,葱,大蒜,香叶,八角,干辣椒,冰糖,料酒,生抽,老抽,白芝麻,小葱花
  meat_dish-羊排焖面 | 羊排焖面 | ★★★★ | 羊肉,生姜,干辣椒,花椒,白砂糖,老抽,青椒,甜椒,大葱,面皮
  meat_dish-老妈蹄花 | 老妈蹄花 | ★★★★ | 白芸豆,猪前蹄,大葱,姜,料酒,当归,白芷,白胡椒粉,鸡精,葱花,葱,蒜,小米椒,生抽,香醋,油泼辣子,花椒油
  meat_dish-老式锅包肉 | 老式锅包肉 | ★★★★ | 猪通脊肉,土豆淀粉,中筋面粉,大葱,姜,胡萝卜,香菜,蒜,白熟芝麻
  meat_dish-肉饼炖蛋 | 肉饼炖蛋 | ★★★ | 猪肉末,鸡蛋
  meat_dish-腐乳肉 | 腐乳肉 | ★★★★★ | 五花肉,料酒,姜片,玫瑰腐乳,腐乳汁,冰糖,老抽,葱
  meat_dish-芥末罗氏虾 | 芥末罗氏虾 | ★★★ | 虾,大蒜,生抽,蚝油,芥末,生粉,小米辣,黄油
  meat_dish-茭白炒肉 | 茭白炒肉 | ★★★ | 茭白,瘦肉,姜,蒜
  meat_dish-荔枝肉 | 荔枝肉 | ★★★★ | 瘦肉,鸡蛋,生粉,番茄酱,姜末,凤梨,芝麻
  meat_dish-荷兰豆炒腊肠 | 荷兰豆炒腊肠 | ★★ | 荷兰豆,腊肠,生抽
  meat_dish-萝卜炖羊排 | 萝卜炖羊排 | ★★★★ | 萝卜,羊排,葱,姜,料酒,花椒,冰糖,白芷
  meat_dish-蒜苔炒肉末 | 蒜苔炒肉末 | ★★ | 蒜苔,五花肉,蒜瓣
  meat_dish-虎皮肘子 | 虎皮肘子 | ★★★★★ | 猪肘,葱,蒜,姜,料酒,香叶,肉桂皮,豆蔻,花椒,大料,老抽,生抽,白醋,冰糖,淀粉
  meat_dish-蚂蚁上树 | 蚂蚁上树 | ★★★ | 红薯粉丝,蒜,姜,猪肉末,郫县豆瓣酱,生抽,老抽,小葱
  meat_dish-血浆鸭 | 血浆鸭 | ★★★★★ | 鸭肉,鸭血,辣椒,姜,蒜,香葱
  meat_dish-西红柿土豆炖牛肉 | 西红柿土豆炖牛肉 | ★★★★ | 土豆,西红柿,牛肉,洋葱
  meat_dish-西红柿牛腩 | 西红柿牛腩 | ★★★★★ | 牛腩,葱,姜,八角,西红柿
  meat_dish-豆豉鲮鱼油麦菜 | 豆豉鲮鱼油麦菜 | ★★ | 油麦菜,鲮鱼罐头,大蒜,豆豉
  meat_dish-豉汁排骨 | 豉汁排骨 | ★★★★ | 排骨,豆豉,葱花,白芝麻
  meat_dish-豉汁蒸白鱔 | 豉汁蒸白鱔 | ★★★ | 白鱔,豆豉,蒜,生抽,老抽,麻油,姜,葱,红椒
  meat_dish-贵州辣子鸡 | 贵州辣子鸡 | ★★★★ | 土豆,鸡块,生姜片,花椒,糍粑辣椒,豆瓣酱,啤酒,香叶,大蒜,酒糟,蒜苗
  meat_dish-辣椒炒肉 | 辣椒炒肉 | ★★★ | 青椒,大蒜,生姜,猪瘦肉,豆豉
  meat_dish-酱排骨 | 酱排骨 | ★★★★ | 排骨,姜,料酒,生抽,蚝油,五香粉,蒜,小米椒,老抽
  meat_dish-酱牛肉 | 酱牛肉 | ★★★★★ | 牛腱子肉,料酒,花椒,姜片
  meat_dish-醉排骨 | 醉排骨 | ★★★★ | 排骨,地瓜粉,鱼露,鸡蛋黄,蒜末,香醋,白砂糖,番茄酱,葱花,芝麻
  meat_dish-青椒土豆炒肉 | 青椒土豆炒肉 | ★★★ | 青椒,土豆,猪肉,葱,姜,蒜,土豆淀粉
  meat_dish-香干肉丝 | 香干肉丝 | ★★★ | 肉丝,青椒,大蒜,香干,淀粉
  meat_dish-香干芹菜炒肉 | 香干芹菜炒肉 | ★★★ | 芹菜,香干,蒜头,辣椒,花椒,猪肉,老抽,豆瓣酱,鸡精,蚝油
  meat_dish-香煎五花肉 | 香煎五花肉 | ★★★ | 五花肉,生菜叶,豆瓣酱
  meat_dish-香菇滑鸡 | 香菇滑鸡 | ★★★ | 鸡腿,干香菇,葱,姜,蒜
  meat_dish-香辣鸡爪煲 | 香辣鸡爪煲 | ★★★★ | 鸡爪,葱,姜,料酒,香叶,八角,生抽,老抽,蒜,小米椒,辣椒面,蚝油,五香粉,鸡精
  meat_dish-鱼香肉丝 | 鱼香肉丝 | ★★★★ | 里脊肉,木耳,青椒,胡萝卜,姜,蒜,葱,豆瓣酱,生抽,料酒,淀粉,蛋清,醋
  meat_dish-鱼香茄子 | 鱼香茄子 | ★★★ | 茄子,肉,葱,姜,蒜,小米椒,生抽,老抽,醋,水淀粉,豆瓣酱
  meat_dish-麻婆豆腐 | 麻婆豆腐 | ★★★ | 大蒜,生姜,小米辣,五花肉,鸭蛋,豆腐,花椒,蒜蓉辣酱
  meat_dish-麻辣香锅 | 麻辣香锅 | ★★★ | 青菜,无骨肉,北京麻辣方便面,麻辣香锅调料,干辣椒
  meat_dish-黄油鸡 | 黄油鸡 | ★★★★ | 鸡肉,酸奶,生姜,大蒜,红辣椒粉,姜黄粉,柠檬汁,番茄,洋葱,腰果,黄油,淡奶油,印度综合香料粉,小豆蔻粉,干葫芦巴叶
  meat_dish-黄焖鸡 | 黄焖鸡 | ★★★ | 鸡腿,香菇,青椒,土豆,生姜,干辣椒,料酒,酱油
  meat_dish-黄瓜炒肉 | 黄瓜炒肉 | ★★★ | 猪瘦肉,黄瓜,蒜,小米辣
